Departure,Arrival,Expedia_wk,Kayak_wk,CheapOAir_wk,Expedia_wkn,Kayak_wkn,CheapOAir_wkn
NY(JFK),ABQ,120,161,144.8,136,148,144.8
NY(JFK),CLE,113,105,119.8,113,105,144.3
NY(JFK),MIA,76.2,80,84.2,131,123,111.2
NY(JFK),SEA,131,137,167.8,156,149,164.8
ABQ,NY(JFK),160,121,151.8,219,121,151.8
ABQ,CLE,175,176,183.3,190,191,183.8
ABQ,MIA,132,133,152.8,205,206,162.8
ABQ,SEA,130,105,101.8,174,135,103.8
CLE,NY(JFK),114,114,127.3,208,140,131.8
CLE,ABQ,175,176,195.8,175,176,195.8
CLE,MIA,98,65,77.2,164,54,101.2
CLE,SEA,171,133,178.4,186,152,202.8
MIA,NY(JFK),112,123,91.2,144,123,104.2
MIA,ABQ,151,206,150.8,181,152,150.8
MIA,CLE,99,164,85.2,116,100,108.2
MIA,SEA,238,240,196.2,239,232,206.8
SEA,NY(JFK),148,132,152.2,191,132,154.2
SEA,ABQ,74,206,105.8,174,152,107.8
SEA,CLE,186,164,186.4,186,152,206.6
SEA,MIA,237,171,190.8,239,232,253.2
